アーティスト	アーティスト(ソート用)	曲名	最近の歌唱
-	-	しのぴが色々洋楽をうろ覚えで歌うよ!	https://www.youtube.com/live/Z1v3sT_d6uU?si=epz4SGbUtnFLtw2-&t=4838
164P feat.GUMI	164P feat.GUMI	天ノ弱	https://www.youtube.com/live/OYaf_O-6WRs?si=20Zo4VVa8PxJbw_X&t=3788
25時、ナイトコードで。×KAITO	25とき、ないとこーどで。×KAITO	化けの花	https://www.youtube.com/live/b0qPGU0sZn4?si=C5mabzVl6bhK7mp0&t=6558
40mP feat.初音ミク	40mP feat.はつねみく	からくりピエロ	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=325
40mP feat.初音ミク	40mP feat.はつねみく	トリノコシティ	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=3567
40mP feat.初音ミク	40mP feat.はつねみく	恋愛裁判	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=4734
40mP feat.初音ミク	40mP feat.はつねみく	純情スカート	https://www.youtube.com/live/bXG5ottJZas?si=VsjzjU8RreUrJGd3&t=4397
40mP feat.初音ミク&GUMI	40mP feat.はつねみく&GUMI	フタリボシ	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=611
AKB48	AKB48	フライングゲット	https://www.youtube.com/live/orkAkFl798M?si=7tK-YB5J1dGoAFWq&t=4229
AKINO	AKINO	創聖のアクエリオン	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=16039
ASIAN KUNG-FU GENERATION	ASIAN KUNG-FU GENERATION	リライト	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=6817
Ado	Ado	うっせぇわ	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=2350
Ado	Ado	ギラギラ	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=2826
Ado	Ado	心という名の不可解	https://www.youtube.com/live/lrLQ6akH23w?si=aC5HLJK6UZYwu-Yn&t=4912
Ado	Ado	新時代	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=2149
Ado	Ado	私は最強	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=1867
AiScReam(ラブライブ!)	AiScReam(らぶらいぶ!)	愛♡スクリ〜ム!	https://www.youtube.com/live/orkAkFl798M?si=7tK-YB5J1dGoAFWq&t=2145
Aimer	Aimer	I beg you	https://www.youtube.com/live/GvGh24EJfGg?si=QLYBryRLPz4v_Qdl&t=4053
Aimer	Aimer	Ref:rain	https://www.youtube.com/live/ac4RYGdoGfw?si=XYuojmcqpJZOLb9x&t=3258
Aimer	Aimer	カタオモイ	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=3033
Aimer	Aimer	星が消えた夜に	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=6488
Aimer	Aimer	残響散歌	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=815
Aiobahn feat. ナナヲアカリ	Aiobahn feat. ななをあかり	しあわせになんてならないで	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=5050
[Alexandros]	Alexandros	SNOW SOUND	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=6550
[Alexandros]	Alexandros	ワタリドリ	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=5138
Aqu3ra feat.flower	Aqu3ra feat.flower	ラムネ	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=7464
Ayase feat.初音ミク	Ayase feat.はつねみく	シニカルナイトプラン	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=4874
Ayase feat.初音ミク	Ayase feat.はつねみく	幽霊東京	https://www.youtube.com/live/rjOy6A4c68o?si=Q07K-470tlYbzNHk&t=628
BUMP OF CHICKEN	BUMP OF CHICKEN	天体観測	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=10353
Beatles	Beatles	Help!(1chorus)	https://www.youtube.com/live/OYaf_O-6WRs?si=20Zo4VVa8PxJbw_X&t=4520
Beatsea feat.初音ミク	Beatsea feat.はつねみく	可惜夜	https://www.youtube.com/live/Dm-WC5w7K8Y?si=Pph-3uJ8wVrF5vc0&t=4512
BiSH	BiSH	プロミスザスター	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=5470
CHiCO with HoneyWorks	CHiCO with HoneyWorks	カヌレ	https://www.youtube.com/live/wY3z5W9B8N0?si=FVqBjyoCdmcOKFxz&t=7072
CHiCO with HoneyWorks	CHiCO with HoneyWorks	プライド革命	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=11497
CHiCO with HoneyWorks	CHiCO with HoneyWorks	世界は恋に落ちている	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=10655
ChouCho	ChouCho	カワルミライ	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=4556
ChouCho	ChouCho	優しさの理由	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=4238
ClariS	ClariS	コネクト	https://www.youtube.com/live/NkjXzUMUZpw?si=EmGBj6Hh6tIlwjGQ&t=2806
Conton Candy	Conton Candy	ファジーネーブル	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=5056
Creepy Nuts	Creepy Nuts	Bling-Bang-Bang-Born	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=12983
